Average & 0.927 & 0.0654 & 0.939 & 0.928 & 0.0277 & 0.848 
Bandwagon & 0.926 & 0.0967 & 0.575 & 0.927 & 0.0787 & 0.121 
Random & 0.928 & -0.171 & 0.719 & 0.929 & -0.173 & 0.339 
Sampling & 0.928 & -0.0613 & 0.0450 & 0.928 & -0.0659 & 0.00435 
Average & 0.934 & 0.506 & 0.605 & 0.933 & 2.398 & 0.687 
Bandwagon & 0.933 & 0.543 & 0.545 & 0.935 & 2.39 & 0.632 
Random & 0.933 & 0.514 & 0.578 & 0.933 & 2.210 & 0.629 
Sampling & 0.933 & 0.438 & 0.395 & 0.933 & 1.061 & 0.204 
Average & 0.936 & 0.711 & 0.410 & 0.936 & 1.35 & 0.542 
Bandwagon & 0.936 & 0.694 & 0.419 & 0.936 & 1.33 & 0.584 
Random & 0.937 & 0.640 & 0.369 & 0.937 & 1.25 & 0.495 
Sampling & 0.939 & 0.611 & 0.307 & 0.939 & 1.21 & 0.411 
Average & 0.928 & -0.0263 & 0.0137 & 0.928 & -0.0135 & 0.159 
Bandwagon & 0.926 & 0.0940 & 0.0290 & 0.929 & 0.105 & 0.0530 
Random & 0.929 & -0.197 & 0.0246 & 0.929 & -0.200 & 0.0885 
Sampling & 0.928 & -0.0445 & 0.0181 & 0.928 & -0.0634 & 0.00798 
Average & 0.933 & 0.188 & 0.000 & 0.934 & 0.754 & 0.130 
Bandwagon & 0.935 & 0.089 & 0.000 & 0.934 & 0.661 & 0.132 
Random & 0.933 & 0.139 & 0.000 & 0.933 & 0.675 & 0.152 
Sampling & 0.933 & 0.027 & 0.000 & 0.933 & 0.200 & 0.038 
Average & 0.936 & 0.304 & 0.011 & 0.937 & 0.785 & 0.169 
Bandwagon & 0.937 & 0.289 & 0.013 & 0.937 & 0.818 & 0.271 
Random & 0.938 & 0.301 & 0.015 & 0.937 & 0.771 & 0.21 
Sampling & 0.939 & 0.25 & 0.007 & 0.939 & 0.673 & 0.173 
